knob_name,central_value
MaCCQE,4.9778
NormCCMEC,1.31189
XSecShape_CCMEC,1
RPA_CCQE,0.151
CoulombCCQE,0
MaNCEL,0
EtaNCEL,0
NormNCMEC,0
FracPN_CCMEC,0
FracDelta_CCMEC,0
MaCCRES,0
MvCCRES,0
MaNCRES,0
MvNCRES,0
NonRESBGvpCC1pi,0
NonRESBGvpCC2pi,0
NonRESBGvpNC1pi,0
NonRESBGvpNC2pi,0
NonRESBGvnCC1pi,0
NonRESBGvnCC2pi,0
NonRESBGvnNC1pi,0
NonRESBGvnNC2pi,0
NonRESBGvbarpCC1pi,0
NonRESBGvbarpCC2pi,0
NonRESBGvbarpNC1pi,0
NonRESBGvbarpNC2pi,0
NonRESBGvbarnCC1pi,0
NonRESBGvbarnCC2pi,0
NonRESBGvbarnNC1pi,0
NonRESBGvbarnNC2pi,0
AhtBY,0
BhtBY,0
CV1uBY,0
CV2uBY,0
AGKYxF1pi,0
AGKYpT1pi,0
MFP_pi,0
MFP_N,0
FrCEx_pi,0
FrInel_pi,0
FrAbs_pi,0
FrCEx_N,0
FrInel_N,0
FrAbs_N,0
RDecBR1gamma,0
RDecBR1eta,0
